Temperature(°C),Voltage(V),Current(A),Vibration(g),Pressure(kPa),Humidity(%),Usage Hours(h),Failure,Cause of Failure,Condition,Time-to-Failure(days),Recommended Solution
64.91997004446507,217.60748939387503,9.166960210156146,1.5970682166612145,94.9407505868516,61.91681496923715,3068,1,Voltage Surge,Critical,5,Stabilize power supply
55.44324012775863,218.7124746373404,10.572626944061652,0.2895975782374586,114.47318208706649,40.31334993528962,9330,1,Voltage Surge,Critical,4,Stabilize power supply
45.89697265230937,214.54591698997507,6.372304690967455,0.5050886044737255,88.61395377182424,56.05411922767787,4577,1,Sensor Fault,Critical,19,Recalibrate/replace sensor
29.38619017096917,216.80703368642293,6.90111616754298,0.6883596429734837,89.51072800425251,51.985600448656385,9021,1,Sensor Fault,Critical,18,Recalibrate/replace sensor
38.326291285433456,229.29599088373888,8.894490487091858,1.5658389864440436,92.70903270441455,38.572202336391655,7300,1,Voltage Surge,Critical,2,Stabilize power supply
44.8430717993927,250.64702746737694,10.33133469197131,1.2941642442787529,90.02710067833367,56.97668822988783,9960,0,None,Average,305,Routine maintenance
51.77452377341831,214.87550640031515,7.332970507962584,1.3557041316519536,99.74585258331642,61.03303412050267,7018,1,Wear & Tear,Critical,11,Replace worn components
33.880108421973915,193.12505819530702,2.4783137638079547,2.0880959795774983,85.13043982862271,34.96579504950202,7083,0,None,Average,213,Routine maintenance
55.73203372177687,208.20231118411883,6.145309955223375,0.37369953646973986,101.35572600799998,56.38921734774444,5707,1,Sensor Fault,Critical,6,Recalibrate/replace sensor
55.63989215351597,214.1920315404685,1.078289854202529,2.2992286648569342,108.21495285918807,35.19170280845854,645,0,None,Normal,287,Routine maintenance
46.84816802925438,208.65406514229,3.864693275974213,1.3829177574900706,100.42519713579594,40.78082786937019,6950,0,None,Normal,31,Routine maintenance
57.36063787577609,230.11457942301683,4.382451641682125,0.48673220443546295,88.14534345311694,55.74514439077195,3022,0,None,Normal,229,Routine maintenance
51.744112276517725,208.49935647543404,10.575571392669016,0.9525245394305253,103.09487822262732,59.68607407248989,7175,1,Sensor Fault,Critical,18,Recalibrate/replace sensor
32.19236204465193,225.94049257312966,3.092485773632229,2.0071318904511717,90.76965439067946,36.59349067590075,248,0,None,Average,64,Routine maintenance
30.055495889874415,200.43921884956575,9.113501792329968,1.708319797567703,99.33016945436671,44.84471477914614,9430,0,None,Average,204,Routine maintenance
33.854201251822644,203.72551476332148,4.7110850861711295,1.6367196983044214,89.75112928853648,43.11196449047148,4092,1,Voltage Surge,Critical,12,Stabilize power supply
29.445888719186556,227.39188124964508,3.3964984850471005,0.8932848512638204,115.94468967050355,45.24701428641533,9772,1,Cooling Failure,Critical,15,Inspect fans & coolant
37.32310221917247,232.9636949782212,8.27347704531345,0.8529596178977571,103.29872133154814,55.54174068146517,3005,1,Cooling Failure,Critical,14,Inspect fans & coolant
49.24277552154555,226.610655557767,5.36024871244894,1.0726698320666794,110.3202415700436,56.58679543637276,2825,0,None,Normal,183,Routine maintenance
31.493789761150165,224.44960255313788,4.6785049303709965,0.6720556772120807,88.96178306023805,45.4878127679692,916,1,Voltage Surge,Critical,18,Stabilize power supply
49.23848314794802,231.37502472783066,9.959893800228103,-0.004843342616031032,97.3568607921874,49.07453847866866,3545,1,Cooling Failure,Critical,3,Inspect fans & coolant
41.135663816582245,203.62425945531106,13.519036002935971,1.1086051290056005,96.06957660879617,60.713677186159074,7579,0,None,Average,255,Routine maintenance
45.34286218357274,229.65326765735074,14.355788390402575,0.5002896801479995,90.40796945606064,33.80608471430255,2206,1,Sensor Fault,Critical,3,Recalibrate/replace sensor
55.17260989393748,206.80512281410807,15.248212923365953,0.35392075026562564,110.21482162831826,61.321439168634654,7644,1,Voltage Surge,Critical,23,Stabilize power supply
32.604480035396264,230.87167350544883,7.331659516537844,1.072360530922239,111.74589063686692,43.33738058514163,1393,1,Voltage Surge,Critical,27,Stabilize power supply
31.809959043112038,218.76135052051092,7.929237123793721,0.2052558035180757,105.9157984410052,48.745798018928966,3331,0,None,Normal,98,Routine maintenance
54.47071569233042,221.60907635485663,10.05582580804933,0.9245075598969106,93.15274524627533,55.269872169762166,4216,0,None,Normal,143,Routine maintenance
